"team","pp","week"
"South Carolina",-0.00306200691005059,5
"Utah State",-0.243882599790315,5
"Central Michigan",-0.257646154609046,5
"Tulane",-0.0702815455139306,5
"Troy",-0.204507743867404,5
"Northwestern",0.0362610658076266,5
"South Alabama",-0.348188457947422,5
"Duke",-0.164497024094607,5
"Charlotte",-0.406416081961335,5
"Kent State",-0.268935053242553,5
"East Carolina",-0.25012892109993,5
"Louisiana Tech",-0.247345498849606,5
"Miami (OH)",-0.281581100286134,5
"Northern Illinois",-0.375741845486112,5
"California",-0.14833690033493,5
"Illinois",-0.208124919832093,5
"UTEP",-0.589236237737112,5
"Hawai'i",-0.375787286433739,5
"Tulsa",-0.0582736969369089,5
"Georgia State",-0.328001385473143,5
"Colorado",-0.218826411203804,5
"Ball State",-0.343480878504941,5
"Western Kentucky",-0.212879751028497,5
"Temple",-0.587932563675858,5
"Washington State",-0.326455084363024,5
"Middle Tennessee",-0.436295300877579,5
"New Mexico",-0.65117596563599,5
"Colorado State",-0.338420053902752,5
"Georgia Southern",-0.470397590374858,5
"Bowling Green",-0.759985819753456,5
"South Florida",-0.461007957621313,5
"Louisiana Monroe",-0.678918681955715,5
"Rice",-0.67029110650255,5
"Florida State",-0.256058318272062,5
"Arkansas State",-0.467608945712829,5
"North Texas",-0.622667563890225,5
"Florida International",-0.71811147281149,5
"Southern Mississippi",-0.58601536718452,5
"Texas State",-0.700574120163521,5
"Kansas",-0.684684144816738,5
"Akron",-1.00727349278902,5
"Navy",-0.622869559436947,5
"Arizona",-0.582310416476048,5
"Vanderbilt",-0.661291668888607,5
"Ohio",-0.759204726305106,5
"UNLV",-0.814031717263584,5
"UMass",-1.10440160633265,5
"Coastal Carolina",0.404503511460681,6
"Georgia Tech",-0.0075176792410724,6
"Tulane",-0.234726462560028,6
"Tulsa",-0.222674029235008,6
"UNLV",-0.74699765465001,6
"Georgia",1.19282566557226,6
"Iowa",0.809237612561416,6
"Alabama",1.15903844168589,6
"Michigan",0.805160270079439,6
"Oklahoma",0.795171027188612,6
"Cincinnati",0.760495983142116,6
"Penn State",0.717187126871893,6
"Texas",0.728148288254223,6
"Ohio State",0.818954032055624,6
"BYU",0.450315081672671,6
"Oklahoma State",0.513129347645707,6
"Arkansas",0.50760444047429,6
"Wake Forest",0.422826350218738,6
"Notre Dame",0.584474263067846,6
"Clemson",0.63458694995013,6
"UT San Antonio",0.0947264771228674,6
"Michigan State",0.429924606281764,6
"SMU",0.30495031696743,6
"Auburn",0.500281900536347,6
"Kentucky",0.402751457704814,6
"Arizona State",0.421593613083917,6
"Liberty",0.240430183544351,6
"Oregon",0.469816045176824,6
"NC State",0.352317744059776,6
"Florida",0.650223132055413,6
"Maryland",0.207952887236883,6
"Pittsburgh",0.417672820353068,6
"Western Michigan",0.175502257299477,6
"Appalachian State",0.289445221969342,6
"Texas A&M",0.414465393941918,6
"Oregon State",0.264000724936819,6
"Boston College",0.223775929192031,6
"Baylor",0.315349554093291,6
"Ole Miss",0.525892685601787,6
"Iowa State",0.531462434372153,6
"UCLA",0.286537827561762,6
"Houston",0.171766155555544,6
"Kansas State",0.296916970006988,6
"Nebraska",0.31899445444372,6
"USC",0.306780049167895,6
"Louisiana",0.192648717274455,6
"Nevada",0.0683230423531614,6
"North Carolina",0.378267286488531,6
"Air Force",0.129651202629941,6
"Rutgers",0.150203812638491,6
"Purdue",0.168322299535429,6
"San Diego State",0.10769479592132,6
"West Virginia",0.23546884898386,6
"Mississippi State",0.273141751419729,6
"Stanford",0.195623336119224,6
"Texas Tech",0.197411165545689,6
"LSU",0.370326138608703,6
"Army",0.0963318278398522,6
"Minnesota",0.18916625518925,6
"Wyoming",0.0453281000110112,6
"Virginia Tech",0.195788995170887,6
"Virginia",0.176006489361527,6
"Boise State",0.196672087170855,6
"Toledo",0.0147502545378201,6
"Fresno State",0.0404738430511104,6
"Tennessee",0.220035630660639,6
"Miami",0.205702424874788,6
"South Carolina",0.0733414293049238,6
"Wisconsin",0.278857205541867,6
"TCU",0.231782772449247,6
"UAB",-0.0139210261747779,6
"Florida Atlantic",-0.0504890794826722,6
"Indiana",0.192964462818276,6
"Utah",0.215815760241147,6
"Louisville",0.117524387569234,6
"East Carolina",-0.129133870043026,6
"San Jose State",-0.199921307407356,6
"Buffalo",-0.137629112527388,6
"Syracuse",-0.0846322490960371,6
"Memphis",-0.0312855561769053,6
"UCF",0.0686471055494268,6
"Washington",0.168141187218914,6
"Marshall",-0.0895483082934495,6
"Miami (OH)",-0.242703386110454,6
"Utah State",-0.213789288452392,6
"Northern Illinois",-0.287189835754081,6
"Kent State",-0.262455885468658,6
"South Alabama",-0.343820473175016,6
"Illinois",-0.161545937287524,6
"Eastern Michigan",-0.251033273190734,6
"Hawai'i",-0.297860876903361,6
"Ball State",-0.237816921286159,6
"Missouri",-0.0650771069672893,6
"Troy",-0.263527648339783,6
"Louisiana Tech",-0.236598759023733,6
"UTEP",-0.563967361710614,6
"Charlotte",-0.448112204041459,6
"Duke",-0.238760611797509,6
"Temple",-0.475049714657535,6
"Middle Tennessee",-0.378177873912033,6
"Washington State",-0.197489472453347,6
"Central Michigan",-0.36777036250591,6
"Georgia Southern",-0.40181436009309,6
"Northwestern",-0.141007576817697,6
"Western Kentucky",-0.250624818879699,6
"Florida State",-0.225364416360822,6
"Colorado State",-0.305677173209854,6
"Georgia State",-0.433828719817347,6
"Colorado",-0.3136251747406,6
"California",-0.280066941203198,6
"Rice",-0.618459017196521,6
"Bowling Green",-0.662944328172294,6
"South Florida",-0.461370957542439,6
"Navy",-0.477180259645464,6
"New Mexico",-0.711552994404833,6
"North Texas",-0.655757343226295,6
"Louisiana Monroe",-0.715673714484232,6
"Old Dominion",-0.734768978149371,6
"Texas State",-0.732421024623531,6
"Vanderbilt",-0.615020930395847,6
